LaneNo,source,target,type,weight,편성당칸수,운행횟수,혼잡지수
2,270_용두역,223_신설동역,subway,67013,10,528,0.07932410037878788
2,285_이대역,233_아현역,subway,19571,10,528,0.023166429924242424
2,213_신답역,270_용두역,subway,73259,10,528,0.08671756628787879
2,340_한양대역,108_뚝섬역,subway,25319,10,528,0.0299704071969697
2,191_성수역,269_용답역,subway,59301,10,528,0.0701953125
2,269_용답역,213_신답역,subway,58759,10,528,0.06955374053030303
2,191_성수역,21_건대입구역,subway,69661,10,528,0.08245857007575758
2,44_구의역,14_강변역,subway,63244,10,528,0.07486268939393939
2,14_강변역,291_잠실나루역,subway,59363,10,528,0.07026870265151515
2,291_잠실나루역,293_잠실역,subway,57812,10,528,0.06843276515151515
2,293_잠실역,292_잠실새내역,subway,130091,10,528,0.15399029356060606
2,292_잠실새내역,306_종합운동장역,subway,139454,10,528,0.16507339015151515
2,306_종합운동장역,161_삼성역,subway,128331,10,528,0.15190696022727274
2,161_삼성역,187_선릉역,subway,158061,10,528,0.1870987215909091
2,187_선릉역,254_역삼역,subway,101363,10,528,0.11998461174242424
2,254_역삼역,10_강남역,subway,119787,10,528,0.14179332386363636
2,21_건대입구역,44_구의역,subway,80161,10,528,0.09488754734848485
2,38_교대역,182_서초역,subway,77292,10,528,0.09149147727272727
2,10_강남역,38_교대역,subway,124176,10,528,0.14698863636363638
2,82_대림역,217_신도림역,subway,245977,10,528,0.2911659564393939
2,216_신대방역,39_구로디지털단지역,subway,71615,10,528,0.08477154356060607
2,218_신림역,216_신대방역,subway,56969,10,528,0.06743489583333333
2,148_봉천역,218_신림역,subway,51936,10,528,0.06147727272727273
2,39_구로디지털단지역,82_대림역,subway,113294,10,528,0.13410748106060605
2,59_낙성대역,179_서울대입구역,subway,79957,10,528,0.09464607007575758
2,156_사당역,59_낙성대역,subway,95058,10,528,0.11252130681818182
2,137_방배역,156_사당역,subway,80257,10,528,0.09500118371212121
2,182_서초역,137_방배역,subway,76832,10,528,0.09094696969696969
2,179_서울대입구역,148_봉천역,subway,56905,10,528,0.06735913825757575
3,101_동대입구역,241_약수역,subway,15464,10,407,0.02374692874692875
3,27_고속터미널역,38_교대역,subway,48733,10,407,0.07483568796068796
3,241_약수역,53_금호역,subway,19058,10,407,0.029265970515970515
3,53_금호역,264_옥수역,subway,7364,10,407,0.011308353808353808
3,264_옥수역,239_압구정역,subway,16354,10,407,0.025113636363636362
3,239_압구정역,222_신사역,subway,31399,10,407,0.04821713759213759
3,222_신사역,294_잠원역,subway,41521,10,407,0.06376074938574938
3,294_잠원역,27_고속터미널역,subway,41507,10,407,0.06373925061425062
3,38_교대역,61_남부터미널역,subway,53986,10,407,0.08290233415233415
3,335_학여울역,85_대청역,subway,16208,10,407,0.02488943488943489
3,244_양재역,121_매봉역,subway,95551,10,407,0.14673065110565112
3,121_매봉역,91_도곡역,subway,94230,10,407,0.14470208845208846
3,91_도곡역,86_대치역,subway,38538,10,407,0.05917997542997543
3,86_대치역,335_학여울역,subway,18660,10,407,0.028654791154791154
3,290_일원역,203_수서역,subway,6407,10,407,0.009838759213759214
3,203_수서역,3_가락시장역,subway,65998,10,407,0.1013482800982801
3,3_가락시장역,24_경찰병원역,subway,32112,10,407,0.04931203931203931
3,24_경찰병원역,261_오금역,subway,27317,10,407,0.04194871007371007
3,328_충무로역,101_동대입구역,subway,18052,10,407,0.027721130221130222
3,61_남부터미널역,244_양재역,subway,46879,10,407,0.07198863636363637
3,279_을지로3가역,328_충무로역,subway,54121,10,407,0.08310964373464373
3,85_대청역,290_일원역,subway,11255,10,407,0.017283476658476658
3,234_안국역,304_종로3가역,subway,56944,10,407,0.08744471744471745
3,87_대화역,307_주엽역,subway,8032,10,407,0.012334152334152334
3,304_종로3가역,279_을지로3가역,subway,52162,10,407,0.08010135135135135
3,300_정발산역,112_마두역,subway,15997,10,407,0.02456541769041769
3,112_마두역,141_백석역,subway,19659,10,407,0.030188882063882063
3,141_백석역,80_대곡역,subway,24236,10,407,0.03721744471744472
3,80_대곡역,352_화정역,subway,27641,10,407,0.04244625307125307
3,352_화정역,274_원당역,subway,35811,10,407,0.054992321867321864
3,274_원당역,275_원흥역,subway,14117,10,407,0.021678439803439805
3,275_원흥역,163_삼송역,subway,10825,10,407,0.016623157248157248
3,307_주엽역,300_정발산역,subway,12973,10,407,0.019921683046683045
3,316_지축역,46_구파발역,subway,16785,10,407,0.0257754914004914
3,163_삼송역,316_지축역,subway,20427,10,407,0.03136824324324324
3,95_독립문역,23_경복궁역,subway,43302,10,407,0.06649570024570024
3,130_무악재역,95_독립문역,subway,41388,10,407,0.06355651105651106
3,347_홍제역,130_무악재역,subway,38290,10,407,0.058799140049140046
3,23_경복궁역,234_안국역,subway,52053,10,407,0.07993396805896806
3,154_불광역,70_녹번역,subway,45621,10,407,0.07005681818181818
3,256_연신내역,154_불광역,subway,25621,10,407,0.03934428746928747
3,46_구파발역,256_연신내역,subway,14345,10,407,0.022028562653562653
3,70_녹번역,347_홍제역,subway,27716,10,407,0.04256142506142506
4,64_남태령역,188_선바위역,subway,53379,10,476,0.07008797268907563
4,224_신용산역,287_이촌역,subway,17383,10,476,0.022824317226890756
4,287_이촌역,103_동작역,subway,96897,10,476,0.12722820378151262
4,103_동작역,326_총신대입구역,subway,88962,10,476,0.1168093487394958
4,326_총신대입구역,156_사당역,subway,83642,10,476,0.10982405462184874
4,156_사당역,64_남태령역,subway,53967,10,476,0.07086003151260505
4,188_선바위역,22_경마공원역,subway,50198,10,476,0.06591123949579832
4,289_인덕원역,332_평촌역,subway,31067,10,476,0.04079175420168067
4,81_대공원역,31_과천역,subway,52585,10,476,0.06904543067226891
4,31_과천역,301_정부과천청사역,subway,48969,10,476,0.06429753151260505
4,301_정부과천청사역,289_인덕원역,subway,43352,10,476,0.05692226890756302
4,332_평촌역,143_범계역,subway,25298,10,476,0.033216911764705884
4,143_범계역,51_금정역,subway,17032,10,476,0.02236344537815126
4,51_금정역,158_산본역,subway,6891,10,476,0.009048056722689076
4,158_산본역,201_수리산역,subway,1049,10,476,0.0013773634453781512
4,22_경마공원역,81_대공원역,subway,49853,10,476,0.06545824579831933
4,206_숙대입구역,160_삼각지역,subway,20963,10,476,0.027524947478991597
4,160_삼각지역,224_신용산역,subway,17912,10,476,0.02351890756302521
4,355_회현역,181_서울역,subway,91214,10,476,0.11976628151260504
4,181_서울역,206_숙대입구역,subway,24017,10,476,0.03153492647058823
4,78_당고개역,167_상계역,subway,9748,10,476,0.012799369747899159
4,167_상계역,69_노원역,subway,28301,10,476,0.03715992647058824
4,317_창동역,231_쌍문역,subway,112371,10,476,0.14754595588235295
4,231_쌍문역,204_수유역,subway,129189,10,476,0.16962841386554622
4,204_수유역,134_미아역,subway,37436,10,476,0.049154411764705884
4,134_미아역,133_미아사거리역,subway,39459,10,476,0.05181066176470588
4,133_미아사거리역,55_길음역,subway,123953,10,476,0.16275341386554623
4,69_노원역,317_창동역,subway,79686,10,476,0.10462972689075631
4,192_성신여대입구역,338_한성대입구역,subway,57085,10,476,0.07495404411764706
4,338_한성대입구역,345_혜화역,subway,55686,10,476,0.0731171218487395
4,345_혜화역,99_동대문역,subway,52457,10,476,0.06887736344537815
4,99_동대문역,100_동대문역사문화공원역,subway,38204,10,476,0.05016281512605042
4,100_동대문역사문화공원역,328_충무로역,subway,90061,10,476,0.11825236344537815
4,328_충무로역,124_명동역,subway,150012,10,476,0.19696953781512605
4,55_길음역,192_성신여대입구역,subway,120629,10,476,0.15838891806722688
4,124_명동역,355_회현역,subway,97800,10,476,0.12841386554621848
5,33_광나루역,320_천호역,subway,85599,8,428,0.15624817464953272
5,232_아차산역,33_광나루역,subway,87779,8,428,0.1602274386682243
5,298_장한평역,48_군자역,subway,75492,8,428,0.13779935747663552
5,77_답십리역,298_장한평역,subway,76539,8,428,0.13971049941588784
5,343_행당역,267_왕십리역,subway,10970,8,428,0.020024094626168224
5,267_왕십리역,114_마장역,subway,68382,8,428,0.1248211156542056
5,209_신금호역,343_행당역,subway,8647,8,428,0.015783805490654206
5,323_청구역,209_신금호역,subway,8811,8,428,0.01608316296728972
5,320_천호역,12_강동역,subway,72908,8,428,0.13308265186915888
5,114_마장역,77_답십리역,subway,66519,8,428,0.12142048773364486
5,12_강동역,104_둔촌동역,subway,33872,8,428,0.06182827102803738
5,50_굽은다리역,125_명일역,subway,28826,8,428,0.05261755257009346
5,266_올림픽공원역,138_방이역,subway,24789,8,428,0.04524861273364486
5,138_방이역,261_오금역,subway,21157,8,428,0.038618939836448596
5,261_오금역,15_개롱역,subway,23556,8,428,0.042997955607476636
5,15_개롱역,20_거여역,subway,17264,8,428,0.03151285046728972
5,20_거여역,115_마천역,subway,7117,8,428,0.012991019275700934
5,12_강동역,54_길동역,subway,41203,8,428,0.07520991530373831
5,54_길동역,50_굽은다리역,subway,35913,8,428,0.06555381133177571
5,125_명일역,25_고덕역,subway,21965,8,428,0.04009382301401869
5,25_고덕역,173_상일동역,subway,13222,8,428,0.02413478387850467
5,100_동대문역사문화공원역,323_청구역,subway,12598,8,428,0.022995765186915887
5,104_둔촌동역,266_올림픽공원역,subway,31681,8,428,0.05782892815420561
5,280_을지로4가역,100_동대문역사문화공원역,subway,65388,8,428,0.11935601635514019
5,48_군자역,232_아차산역,subway,92703,8,428,0.16921546436915888
5,36_광화문역,304_종로3가역,subway,42994,8,428,0.07847911799065421
5,304_종로3가역,280_을지로4가역,subway,33245,8,428,0.06068377628504673
5,140_방화역,18_개화산역,subway,6816,8,428,0.012441588785046729
5,18_개화산역,56_김포공항역,subway,12408,8,428,0.022648948598130842
5,56_김포공항역,197_송정역,subway,24364,8,428,0.04447283878504673
5,111_마곡역,136_발산역,subway,25288,8,428,0.04615946261682243
5,136_발산역,273_우장산역,subway,29251,8,428,0.05339332651869159
5,273_우장산역,349_화곡역,subway,31032,8,428,0.05664427570093458
5,349_화곡역,57_까치산역,subway,48765,8,428,0.08901321553738317
5,57_까치산역,227_신정역,subway,35480,8,428,0.06476343457943926
5,227_신정역,128_목동역,subway,39733,8,428,0.07252665011682242
5,128_목동역,263_오목교역,subway,26672,8,428,0.0486857476635514
5,263_오목교역,248_양평역,subway,28886,8,428,0.05272707359813084
5,197_송정역,111_마곡역,subway,24325,8,428,0.04440165011682243
5,258_영등포구청역,259_영등포시장역,subway,19207,8,428,0.035059506425233644
5,177_서대문역,36_광화문역,subway,49828,8,428,0.09095356308411215
5,248_양평역,258_영등포구청역,subway,33724,8,428,0.0615581191588785
5,329_충정로역,177_서대문역,subway,34499,8,428,0.06297276577102803
5,28_공덕역,240_애오개역,subway,32029,8,428,0.05846415011682243
5,117_마포역,28_공덕역,subway,51290,8,428,0.09362222546728972
5,240_애오개역,329_충정로역,subway,28193,8,428,0.051462105724299066
5,252_여의도역,251_여의나루역,subway,57999,8,428,0.10586850175233645
5,210_신길역,252_여의도역,subway,76912,8,428,0.1403913551401869
5,259_영등포시장역,210_신길역,subway,18472,8,428,0.0337178738317757
5,251_여의나루역,117_마포역,subway,61071,8,428,0.11147597838785046
6,336_한강진역,142_버티고개역,subway,7775,8,340,0.01786534926470588
6,102_동묘앞역,318_창신역,subway,13945,8,340,0.032042738970588236
6,142_버티고개역,241_약수역,subway,8124,8,340,0.018667279411764708
6,241_약수역,323_청구역,subway,29099,8,340,0.06686351102941177
6,323_청구역,214_신당역,subway,11526,8,340,0.026484375
6,288_이태원역,336_한강진역,subway,13113,8,340,0.030130974264705884
6,214_신당역,102_동묘앞역,subway,30536,8,340,0.07016544117647058
6,318_창신역,145_보문역,subway,13748,8,340,0.03159007352941177
6,172_상월곡역,98_돌곶이역,subway,18354,8,340,0.04217371323529412
6,235_안암역,26_고려대역,subway,22787,8,340,0.05235983455882353
6,26_고려대역,277_월곡역,subway,22297,8,340,0.05123391544117647
6,98_돌곶이역,183_석계역,subway,15906,8,340,0.03654871323529412
6,183_석계역,330_태릉입구역,subway,52270,8,340,0.12010569852941176
6,330_태릉입구역,350_화랑대역,subway,16479,8,340,0.03786534926470588
6,71_녹사평역,288_이태원역,subway,17537,8,340,0.04029641544117647
6,350_화랑대역,149_봉화산역,subway,8551,8,340,0.0196484375
6,145_보문역,235_안암역,subway,25501,8,340,0.058596047794117645
6,160_삼각지역,71_녹사평역,subway,20051,8,340,0.04607306985294118
6,277_월곡역,172_상월곡역,subway,8718,8,340,0.020032169117647058
6,28_공덕역,356_효창공원앞역,subway,52852,8,340,0.12144301470588235
6,356_효창공원앞역,160_삼각지역,subway,17166,8,340,0.03944393382352941
6,149_봉화산역,211_신내역,subway,6020,8,340,0.013832720588235294
6,283_응암역,255_역촌역,subway,19803,8,340,0.045503216911764705
6,255_역촌역,154_불광역,subway,17340,8,340,0.03984375
6,154_불광역,96_독바위역,subway,2767,8,340,0.006357996323529412
6,256_연신내역,43_구산역,subway,19446,8,340,0.04468290441176471
6,43_구산역,283_응암역,subway,25005,8,340,0.057456341911764706
6,283_응암역,174_새절역,subway,47128,8,340,0.10829044117647059
6,174_새절역,315_증산역,subway,55915,8,340,0.1284811580882353
6,96_독바위역,256_연신내역,subway,2130,8,340,0.004894301470588235
6,107_디지털미디어시티역,278_월드컵경기장역,subway,14339,8,340,0.03294806985294118
6,278_월드컵경기장역,116_마포구청역,subway,11187,8,340,0.02570542279411765
6,116_마포구청역,119_망원역,subway,20322,8,340,0.04669577205882353
6,119_망원역,342_합정역,subway,28725,8,340,0.06600413602941177
6,342_합정역,170_상수역,subway,15326,8,340,0.035215992647058825
6,170_상수역,37_광흥창역,subway,11856,8,340,0.027242647058823528
6,37_광흥창역,88_대흥역,subway,11680,8,340,0.026838235294117645
6,315_증산역,107_디지털미디어시티역,subway,62052,8,340,0.1425827205882353
6,88_대흥역,28_공덕역,subway,17070,8,340,0.039223345588235294
7,295_장승배기역,215_신대방삼거리역,subway,18453,8,393,0.03668296755725191
7,168_상도역,295_장승배기역,subway,17287,8,393,0.034365060432569976
7,207_숭실대입구역,168_상도역,subway,20047,8,393,0.03985170165394402
7,27_고속터미널역,66_내방역,subway,32186,8,393,0.06398298346055979
7,286_이수역,62_남성역,subway,32118,8,393,0.06384780534351145
7,66_내방역,286_이수역,subway,31485,8,393,0.06258945610687022
7,215_신대방삼거리역,144_보라매역,subway,21175,8,393,0.04209406806615776
7,62_남성역,207_숭실대입구역,subway,26626,8,393,0.0529301844783715
7,144_보라매역,229_신풍역,subway,25368,8,393,0.0504293893129771
7,58_까치울역,151_부천종합운동장역,subway,6907,8,393,0.01373051844783715
7,82_대림역,60_남구로역,subway,54247,8,393,0.10783834287531807
7,60_남구로역,4_가산디지털단지역,subway,52199,8,393,0.10376709605597964
7,4_가산디지털단지역,321_철산역,subway,46801,8,393,0.09303633905852417
7,321_철산역,34_광명사거리역,subway,33883,8,393,0.06735647264631044
7,34_광명사거리역,319_천왕역,subway,19721,8,393,0.03920364185750636
7,319_천왕역,265_온수역,subway,10693,8,393,0.021256758905852418
7,265_온수역,58_까치울역,subway,10752,8,393,0.021374045801526718
7,135_반포역,27_고속터미널역,subway,25158,8,393,0.050011927480916034
7,151_부천종합운동장역,327_춘의역,subway,4617,8,393,0.009178196564885496
7,229_신풍역,82_대림역,subway,31811,8,393,0.0632375159033079
7,74_논현역,135_반포역,subway,75069,8,393,0.14923067748091604
7,48_군자역,249_어린이대공원역,subway,74858,8,393,0.14881122773536895
7,9_강남구청역,334_학동역,subway,64875,8,393,0.12896588740458015
7,296_장암역,93_도봉산역,subway,2649,8,393,0.005265982824427481
7,93_도봉산역,200_수락산역,subway,7721,8,393,0.015348680025445293
7,200_수락산역,113_마들역,subway,18899,8,393,0.03756957697201018
7,113_마들역,69_노원역,subway,30216,8,393,0.06006679389312977
7,69_노원역,308_중계역,subway,19092,8,393,0.03795324427480916
7,308_중계역,333_하계역,subway,19489,8,393,0.03874244592875318
7,334_학동역,74_논현역,subway,60448,8,393,0.12016539440203562
7,29_공릉역,330_태릉입구역,subway,32327,8,393,0.06426327926208651
7,330_태릉입구역,122_먹골역,subway,19948,8,393,0.03965489821882952
7,122_먹골역,313_중화역,subway,22713,8,393,0.04515147900763359
7,333_하계역,29_공릉역,subway,26667,8,393,0.05301168893129771
7,169_상봉역,123_면목역,subway,64158,8,393,0.1275405534351145
7,313_중화역,169_상봉역,subway,29106,8,393,0.05786020992366412
7,109_뚝섬유원지역,324_청담역,subway,75931,8,393,0.15094425890585242
7,21_건대입구역,109_뚝섬유원지역,subway,74325,8,393,0.14775166984732824
7,249_어린이대공원역,21_건대입구역,subway,75072,8,393,0.14923664122137403
7,324_청담역,9_강남구청역,subway,115038,8,393,0.22868559160305343
7,271_용마산역,309_중곡역,subway,62351,8,393,0.1239483937659033
7,155_사가정역,271_용마산역,subway,60460,8,393,0.12018924936386768
7,123_면목역,155_사가정역,subway,59522,8,393,0.11832458651399491
7,309_중곡역,48_군자역,subway,68257,8,393,0.13568901081424936
8,205_수진역,127_모란역,subway,5674,6,292,0.02024115296803653
8,230_신흥역,205_수진역,subway,3051,6,292,0.010883989726027398
8,76_단대오거리역,230_신흥역,subway,6510,6,292,0.023223458904109588
8,65_남한산성입구역,76_단대오거리역,subway,14566,6,292,0.05196204337899543
8,159_산성역,65_남한산성입구역,subway,22702,6,292,0.08098601598173516
8,146_복정역,159_산성역,subway,26702,6,292,0.09525542237442923
8,297_장지역,146_복정역,subway,11048,6,292,0.039412100456621
8,199_송파역,3_가락시장역,subway,38843,6,292,0.13856663812785389
8,3_가락시장역,132_문정역,subway,25230,6,292,0.0900042808219178
8,237_암사역,320_천호역,subway,19053,6,292,0.06796875
8,320_천호역,11_강동구청역,subway,51907,6,292,0.1851705194063927
8,11_강동구청역,129_몽촌토성역,subway,54896,6,292,0.19583333333333333
8,132_문정역,297_장지역,subway,9097,6,292,0.032452197488584474
8,293_잠실역,186_석촌역,subway,67433,6,292,0.2405572203196347
8,186_석촌역,199_송파역,subway,42108,6,292,0.1502140410958904
8,129_몽촌토성역,293_잠실역,subway,77391,6,292,0.2760809075342466
9,68_노량진역,175_샛강역,subway,18424,6,110,0.17446969696969697
9,175_샛강역,252_여의도역,subway,18759,6,110,0.17764204545454546
9,252_여의도역,47_국회의사당역,subway,28066,6,110,0.2657765151515151
9,47_국회의사당역,79_당산역,subway,34401,6,110,0.32576704545454543
9,79_당산역,189_선유도역,subway,31994,6,110,0.30297348484848485
9,189_선유도역,219_신목동역,subway,25802,6,110,0.2443371212121212
9,219_신목동역,257_염창역,subway,23666,6,110,0.2241098484848485
9,106_등촌역,314_증미역,subway,16132,6,110,0.15276515151515152
9,314_증미역,5_가양역,subway,16973,6,110,0.16072916666666667
9,67_노들역,68_노량진역,subway,8479,6,110,0.0802935606060606
9,247_양천향교역,110_마곡나루역,subway,36132,6,110,0.3421590909090909
9,110_마곡나루역,221_신방화역,subway,8882,6,110,0.08410984848484848
9,221_신방화역,30_공항시장역,subway,3284,6,110,0.031098484848484848
9,30_공항시장역,56_김포공항역,subway,2961,6,110,0.028039772727272726
9,56_김포공항역,19_개화역,subway,1840,6,110,0.017424242424242425
9,257_염창역,106_등촌역,subway,18603,6,110,0.17616477272727274
9,5_가양역,247_양천향교역,subway,29922,6,110,0.2833522727272727
9,357_흑석역,67_노들역,subway,7861,6,110,0.07444128787878788
9,42_구반포역,103_동작역,subway,105971,6,110,1.0035132575757575
9,312_중앙보훈병원역,105_둔촌오륜역,subway,12646,6,110,0.11975378787878788
9,105_둔촌오륜역,266_올림픽공원역,subway,13612,6,110,0.12890151515151516
9,266_올림픽공원역,339_한성백제역,subway,22406,6,110,0.2121780303030303
9,339_한성백제역,198_송파나루역,subway,3270,6,110,0.030965909090909093
9,103_동작역,357_흑석역,subway,27509,6,110,0.26050189393939394
9,186_석촌역,185_석촌고분역,subway,20745,6,110,0.19644886363636363
9,185_석촌고분역,166_삼전역,subway,23165,6,110,0.2193655303030303
9,166_삼전역,306_종합운동장역,subway,27187,6,110,0.2574526515151515
9,198_송파나루역,186_석촌역,subway,6757,6,110,0.06398674242424242
9,147_봉은사역,162_삼성중앙역,subway,20517,6,110,0.1942897727272727
9,162_삼성중앙역,190_선정릉역,subway,28018,6,110,0.2653219696969697
9,190_선정릉역,250_언주역,subway,23334,6,110,0.2209659090909091
9,250_언주역,212_신논현역,subway,39521,6,110,0.37425189393939395
9,212_신논현역,157_사평역,subway,25126,6,110,0.23793560606060607
9,157_사평역,27_고속터미널역,subway,25088,6,110,0.23757575757575758
9,27_고속터미널역,220_신반포역,subway,49003,6,110,0.4640435606060606
9,220_신반포역,42_구반포역,subway,49201,6,110,0.4659185606060606
9,306_종합운동장역,147_봉은사역,subway,48331,6,110,0.45767992424242426
100,91_도곡역,41_구룡역,subway,46187,6,352,0.1366802793560606
100,41_구룡역,17_개포동역,subway,44896,6,352,0.1328598484848485
100,17_개포동역,83_대모산입구역,subway,57281,6,352,0.1695105350378788
100,331_태평역,127_모란역,subway,11262,6,352,0.03332741477272727
100,203_수서역,146_복정역,subway,52534,6,352,0.15546283143939393
100,146_복정역,8_가천대역,subway,20483,6,352,0.0606149384469697
100,8_가천대역,331_태평역,subway,16347,6,352,0.048375355113636366
100,83_대모산입구역,203_수서역,subway,89132,6,352,0.263766571969697
100,187_선릉역,341_한티역,subway,226132,6,352,0.6691879734848485
100,341_한티역,91_도곡역,subway,14948,6,352,0.04423532196969697
100,9_강남구청역,190_선정릉역,subway,129558,6,352,0.3833984375
100,238_압구정로데오역,9_강남구청역,subway,109065,6,352,0.32275390625
100,180_서울숲역,238_압구정로데오역,subway,102790,6,352,0.30418442234848486
100,267_왕십리역,180_서울숲역,subway,100857,6,352,0.29846413352272727
100,190_선정릉역,187_선릉역,subway,211419,6,352,0.6256480823863636
101,110_마곡나루역,56_김포공항역,subway,40363,6,179,0.234887104283054
101,107_디지털미디어시티역,110_마곡나루역,subway,77777,6,179,0.452612895716946
101,346_홍대입구역,107_디지털미디어시티역,subway,151390,6,179,0.880993947858473
101,28_공덕역,346_홍대입구역,subway,172339,6,179,1.0029038640595904
101,181_서울역,28_공덕역,subway,252314,6,179,1.4683077281191805
104,356_효창공원앞역,272_용산역,subway,37055,8,109,0.2655891628440367
104,287_이촌역,178_서빙고역,subway,20777,8,109,0.14891771788990826
104,178_서빙고역,337_한남역,subway,20529,8,109,0.14714019495412844
104,337_한남역,264_옥수역,subway,19722,8,109,0.14135607798165137
104,264_옥수역,282_응봉역,subway,35278,8,109,0.2528526376146789
