LaneNo,source,target,type,weight
8,146_복정역,159_산성역,subway,0.09525542237442923
8,297_장지역,146_복정역,subway,0.039412100456621
8,199_송파역,3_가락시장역,subway,0.13856663812785389
8,3_가락시장역,132_문정역,subway,0.0900042808219178
8,237_암사역,320_천호역,subway,0.06796875
8,320_천호역,11_강동구청역,subway,0.1851705194063927
8,11_강동구청역,129_몽촌토성역,subway,0.19583333333333333
8,132_문정역,297_장지역,subway,0.032452197488584474
8,293_잠실역,186_석촌역,subway,0.2405572203196347
8,186_석촌역,199_송파역,subway,0.1502140410958904
8,129_몽촌토성역,293_잠실역,subway,0.2760809075342466
9,68_노량진역,175_샛강역,subway,0.17446969696969697
9,175_샛강역,252_여의도역,subway,0.17764204545454546
9,252_여의도역,47_국회의사당역,subway,0.2657765151515151
9,47_국회의사당역,79_당산역,subway,0.32576704545454543
9,79_당산역,189_선유도역,subway,0.30297348484848485
9,189_선유도역,219_신목동역,subway,0.2443371212121212
9,219_신목동역,257_염창역,subway,0.2241098484848485
9,106_등촌역,314_증미역,subway,0.15276515151515152
9,314_증미역,5_가양역,subway,0.16072916666666667
9,67_노들역,68_노량진역,subway,0.0802935606060606
9,247_양천향교역,110_마곡나루역,subway,0.3421590909090909
9,110_마곡나루역,221_신방화역,subway,0.08410984848484848
9,221_신방화역,30_공항시장역,subway,0.031098484848484848
9,30_공항시장역,56_김포공항역,subway,0.028039772727272726
9,56_김포공항역,19_개화역,subway,0.017424242424242425
9,257_염창역,106_등촌역,subway,0.17616477272727274
9,5_가양역,247_양천향교역,subway,0.2833522727272727
9,357_흑석역,67_노들역,subway,0.07444128787878788
9,42_구반포역,103_동작역,subway,1.0035132575757575
9,312_중앙보훈병원역,105_둔촌오륜역,subway,0.11975378787878788
9,105_둔촌오륜역,266_올림픽공원역,subway,0.12890151515151516
9,266_올림픽공원역,339_한성백제역,subway,0.2121780303030303
9,339_한성백제역,198_송파나루역,subway,0.030965909090909093
9,103_동작역,357_흑석역,subway,0.26050189393939394
9,186_석촌역,185_석촌고분역,subway,0.19644886363636363
9,185_석촌고분역,166_삼전역,subway,0.2193655303030303
9,166_삼전역,306_종합운동장역,subway,0.2574526515151515
9,198_송파나루역,186_석촌역,subway,0.06398674242424242
9,147_봉은사역,162_삼성중앙역,subway,0.1942897727272727
9,162_삼성중앙역,190_선정릉역,subway,0.2653219696969697
9,190_선정릉역,250_언주역,subway,0.2209659090909091
9,250_언주역,212_신논현역,subway,0.37425189393939395
9,212_신논현역,157_사평역,subway,0.23793560606060607
9,157_사평역,27_고속터미널역,subway,0.23757575757575758
9,27_고속터미널역,220_신반포역,subway,0.4640435606060606
9,220_신반포역,42_구반포역,subway,0.4659185606060606
9,306_종합운동장역,147_봉은사역,subway,0.45767992424242426
100,91_도곡역,41_구룡역,subway,0.1366802793560606
100,41_구룡역,17_개포동역,subway,0.1328598484848485
100,17_개포동역,83_대모산입구역,subway,0.1695105350378788
100,331_태평역,127_모란역,subway,0.03332741477272727
100,203_수서역,146_복정역,subway,0.15546283143939393
100,146_복정역,8_가천대역,subway,0.0606149384469697
100,8_가천대역,331_태평역,subway,0.048375355113636366
100,83_대모산입구역,203_수서역,subway,0.263766571969697
100,187_선릉역,341_한티역,subway,0.6691879734848485
100,341_한티역,91_도곡역,subway,0.04423532196969697
100,9_강남구청역,190_선정릉역,subway,0.3833984375
100,238_압구정로데오역,9_강남구청역,subway,0.32275390625
100,180_서울숲역,238_압구정로데오역,subway,0.30418442234848486
100,267_왕십리역,180_서울숲역,subway,0.29846413352272727
100,190_선정릉역,187_선릉역,subway,0.6256480823863636
101,110_마곡나루역,56_김포공항역,subway,0.234887104283054
101,107_디지털미디어시티역,110_마곡나루역,subway,0.452612895716946
101,346_홍대입구역,107_디지털미디어시티역,subway,0.880993947858473
101,28_공덕역,346_홍대입구역,subway,1.0029038640595904
101,181_서울역,28_공덕역,subway,1.4683077281191805
104,356_효창공원앞역,272_용산역,subway,0.2655891628440367
104,287_이촌역,178_서빙고역,subway,0.14891771788990826
104,178_서빙고역,337_한남역,subway,0.14714019495412844
104,337_한남역,264_옥수역,subway,0.14135607798165137
104,264_옥수역,282_응봉역,subway,0.2528526376146789
104,311_중랑역,169_상봉역,subway,0.34234518348623855
104,267_왕십리역,325_청량리역,subway,0.6231364678899083
104,325_청량리역,353_회기역,subway,0.5783185206422018
104,353_회기역,311_중랑역,subway,0.3500931766055046
104,28_공덕역,356_효창공원앞역,subway,0.37881307339449544
104,169_상봉역,118_망우역,subway,0.05719610091743119
104,118_망우역,242_양원역,subway,0.0127723623853211
104,282_응봉역,267_왕십리역,subway,0.2526734518348624
104,176_서강대역,28_공덕역,subway,0.0025301032110091742
