LaneNo,source,target
8,230_신흥역,205_수진역
8,76_단대오거리역,230_신흥역
8,65_남한산성입구역,76_단대오거리역
8,159_산성역,65_남한산성입구역
8,146_복정역,159_산성역
8,297_장지역,146_복정역
8,199_송파역,3_가락시장역
8,3_가락시장역,132_문정역
8,237_암사역,320_천호역
8,320_천호역,11_강동구청역
8,11_강동구청역,129_몽촌토성역
8,132_문정역,297_장지역
8,293_잠실역,186_석촌역
8,186_석촌역,199_송파역
8,129_몽촌토성역,293_잠실역
9,68_노량진역,175_샛강역
9,175_샛강역,252_여의도역
9,252_여의도역,47_국회의사당역
9,47_국회의사당역,79_당산역
9,79_당산역,189_선유도역
9,189_선유도역,219_신목동역
9,219_신목동역,257_염창역
9,106_등촌역,314_증미역
9,314_증미역,5_가양역
9,67_노들역,68_노량진역
9,247_양천향교역,110_마곡나루역
9,110_마곡나루역,221_신방화역
9,221_신방화역,30_공항시장역
9,30_공항시장역,56_김포공항역
9,56_김포공항역,19_개화역
9,257_염창역,106_등촌역
9,5_가양역,247_양천향교역
9,357_흑석역,67_노들역
9,42_구반포역,103_동작역
9,312_중앙보훈병원역,105_둔촌오륜역
9,105_둔촌오륜역,266_올림픽공원역
9,266_올림픽공원역,339_한성백제역
9,339_한성백제역,198_송파나루역
9,103_동작역,357_흑석역
9,186_석촌역,185_석촌고분역
9,185_석촌고분역,166_삼전역
9,166_삼전역,306_종합운동장역
9,198_송파나루역,186_석촌역
9,147_봉은사역,162_삼성중앙역
9,162_삼성중앙역,190_선정릉역
9,190_선정릉역,250_언주역
9,250_언주역,212_신논현역
9,212_신논현역,157_사평역
9,157_사평역,27_고속터미널역
9,27_고속터미널역,220_신반포역
9,220_신반포역,42_구반포역
9,306_종합운동장역,147_봉은사역
100,91_도곡역,41_구룡역
100,41_구룡역,17_개포동역
100,17_개포동역,83_대모산입구역
100,331_태평역,127_모란역
100,203_수서역,146_복정역
100,146_복정역,8_가천대역
100,8_가천대역,331_태평역
100,83_대모산입구역,203_수서역
100,187_선릉역,341_한티역
100,341_한티역,91_도곡역
100,9_강남구청역,190_선정릉역
100,238_압구정로데오역,9_강남구청역
100,180_서울숲역,238_압구정로데오역
100,267_왕십리역,180_서울숲역
100,190_선정릉역,187_선릉역
101,110_마곡나루역,56_김포공항역
101,107_디지털미디어시티역,110_마곡나루역
101,346_홍대입구역,107_디지털미디어시티역
101,28_공덕역,346_홍대입구역
101,181_서울역,28_공덕역
104,356_효창공원앞역,272_용산역
104,287_이촌역,178_서빙고역
104,178_서빙고역,337_한남역
104,337_한남역,264_옥수역
104,264_옥수역,282_응봉역
104,311_중랑역,169_상봉역
104,267_왕십리역,325_청량리역
104,325_청량리역,353_회기역
104,353_회기역,311_중랑역
104,28_공덕역,356_효창공원앞역
104,169_상봉역,118_망우역
104,118_망우역,242_양원역
104,282_응봉역,267_왕십리역
104,176_서강대역,28_공덕역
104,272_용산역,287_이촌역
104,7_가좌역,346_홍대입구역
104,228_신촌역,181_서울역
104,7_가좌역,228_신촌역
104,107_디지털미디어시티역,7_가좌역
104,202_수색역,107_디지털미디어시티역
104,351_화전역,202_수색역
104,13_강매역,351_화전역
104,344_행신역,13_강매역
104,75_능곡역,344_행신역
104,80_대곡역,75_능곡역
104,346_홍대입구역,176_서강대역
108,325_청량리역,353_회기역
108,353_회기역,311_중랑역
108,35_광운대역,169_상봉역
108,169_상봉역,118_망우역
108,118_망우역,211_신내역
108,311_중랑역,169_상봉역
109,10_강남역,244_양재역
109,244_양재역,243_양재시민의숲역
109,243_양재시민의숲역,322_청계산입구역
113,223_신설동역,145_보문역
113,145_보문역,192_성신여대입구역
113,192_성신여대입구역,299_정릉역
113,299_정릉역,152_북한산보국문역
113,195_솔샘역,164_삼양사거리역
113,164_삼양사거리역,165_삼양역
113,165_삼양역,348_화계역
113,348_화계역,6_가오리역
113,6_가오리역,1_4.19민주묘지역
113,1_4.19민주묘지역,194_솔밭공원역
113,194_솔밭공원역,153_북한산우이역
113,152_북한산보국문역,195_솔샘역
